شعبه,آیتم منو,وضعیت,انتظار 28 روز,حداقل,حداکثر,پیشنهاد سفارش,میانگین روزانه,نسبت روزهای فروش,روز سابقه,روز از آخرین فروش
Burger Factory,لیموناد قوطی خوشگوار,⚠ جدید — سابقه کوتاه,50.9,35.0,66.0,66.0,1.82,73.0,11,1
Burger Factory,باربیکن شیشه ای استوایی,پرحجم پراکنده,34.1,0.0,68.0,35.0,1.22,26.0,74,0
Burger Factory,سالاد مخصوص فکتوری با سس انار,کم‌فروش,17.9,7.0,28.0,18.0,0.64,38.0,72,2
Burger Factory,نان اضافه,کم‌فروش,17.4,6.0,28.0,18.0,0.62,26.0,74,0
Burger Factory,باربیکن شیشه ای مالت,کم‌فروش,15.5,0.0,37.0,16.0,0.55,15.0,74,0
Burger Factory,سالاد میکس,کم‌فروش,15.4,5.0,26.0,16.0,0.55,34.0,71,3
Burger Factory,دبل چیلی برگر,کم‌فروش,14.0,11.0,17.0,14.0,0.5,32.0,66,8
Burger Factory,دبل چیکن چیز برگر,کم‌فروش,11.1,6.0,17.0,12.0,0.4,22.0,73,1
Burger Factory,بیکن,کم‌فروش,10.8,3.0,19.0,11.0,0.39,20.0,70,4
Burger Factory,هالوپینو اضافه,کم‌فروش,6.6,2.0,11.0,7.0,0.24,19.0,59,15
Burger Factory,دبل چیز برگر,⚠ جدید — سابقه کوتاه,5.6,1.0,10.0,10.0,0.2,10.0,30,44
Burger Factory,آب پرتقال طبیعی 250سی سی,کم‌فروش,5.2,2.0,8.0,6.0,0.19,15.0,54,20
Burger Factory,دبل چیکن برگر,کم‌فروش,4.3,2.0,6.0,5.0,0.15,15.0,65,9
Burger Factory,سس سزار,⚠ راکد — بیش از ۳ هفته بی‌فروش,2.1,1.0,4.0,4.0,0.08,8.0,40,34
Burger Factory,دلستر شیشه ای افس لیمو,⚠ راکد — بیش از ۳ هفته بی‌فروش,1.8,0.0,5.0,5.0,0.06,6.0,47,27
Burger Factory,نان هات داگ اضافه,⚠ جدید — سابقه کوتاه,1.1,0.0,2.0,2.0,0.04,4.0,25,49
Burger Factory BAMLAND,لیموناد قوطی خوشگوار,⚠ جدید — سابقه کوتاه,76.0,68.0,84.0,84.0,2.71,79.0,14,2
Burger Factory BAMLAND,پیاز اضافه,کم‌فروش,13.8,5.0,23.0,14.0,0.49,32.0,73,1
Burger Factory BAMLAND,قارچ اضافه,کم‌فروش,12.9,9.0,17.0,13.0,0.46,38.0,65,9
Burger Factory BAMLAND,پنیر اضافه,کم‌فروش,8.9,7.0,11.0,9.0,0.32,29.0,63,11
Burger Factory BAMLAND,سس سزار,کم‌فروش,6.0,3.0,9.0,6.0,0.21,16.0,61,13
Burger Factory BAMLAND,هالوپینو اضافه,کم‌فروش,5.8,3.0,9.0,6.0,0.21,14.0,72,2
Burger Factory BAMLAND,باربیکن شیشه ای استوایی,کم‌فروش,5.4,0.0,13.0,6.0,0.19,8.0,72,2
Burger Factory BAMLAND,دبل چیکن چیزبرگر,کم‌فروش,5.4,2.0,9.0,6.0,0.19,17.0,72,2
Burger Factory BAMLAND,باربیکن شیشه ای لیمویی,کم‌فروش,5.3,0.0,10.0,6.0,0.19,11.0,74,0
Burger Factory BAMLAND,دبل چیلی برگر,کم‌فروش,4.7,3.0,7.0,5.0,0.17,17.0,65,9
Burger Factory BAMLAND,باربیکن شیشه ای مالت,کم‌فروش,4.2,0.0,10.0,5.0,0.15,5.0,73,1
Burger Factory BAMLAND,بیکن,کم‌فروش,3.9,1.0,7.0,4.0,0.14,11.0,72,2
Burger Factory BAMLAND,سس انار,⚠ راکد — بیش از ۳ هفته بی‌فروش,3.2,0.0,6.0,6.0,0.11,9.0,35,39
Burger Factory BAMLAND,دبل چیکن برگر,کم‌فروش,2.8,0.0,6.0,3.0,0.1,8.0,59,15
Burger Factory BAMLAND,آب پرتقال طبیعی 250سی سی,کم‌فروش,2.1,0.0,5.0,3.0,0.08,4.0,53,21
Burger Factory BAMLAND,سس بالزامیک,⚠ جدید — سابقه کوتاه,1.0,0.0,2.0,2.0,0.04,4.0,27,47
Burger Factory BAMLAND,نان هات داگ اضافه,⚠ جدید — سابقه کوتاه,1.0,0.0,2.0,2.0,0.04,4.0,28,46
Burger Factory IRANMALL,نان هات داگ اضافه,⚠ جدید — سابقه کوتاه,28.0,27.0,29.0,29.0,1.0,100.0,1,31
Burger Factory IRANMALL,فانتا قوطی,کم‌فروش,20.8,12.0,29.0,21.0,0.74,40.0,70,4
Burger Factory IRANMALL,دلستر شیشه ای افس استوایی,کم‌فروش,20.0,15.0,25.0,20.0,0.71,39.0,70,4
Burger Factory IRANMALL,قارچ اضافه,کم‌فروش,15.7,8.0,23.0,16.0,0.56,37.0,73,1
Burger Factory IRANMALL,نان اضافه,کم‌فروش,13.2,0.0,26.0,14.0,0.47,18.0,72,2
Burger Factory IRANMALL,اسپرایت قوطی,کم‌فروش,11.5,5.0,18.0,12.0,0.41,23.0,73,1
Burger Factory IRANMALL,سالاد میکس,کم‌فروش,11.3,5.0,18.0,12.0,0.4,29.0,72,2
Burger Factory IRANMALL,پیاز اضافه,کم‌فروش,11.2,6.0,16.0,12.0,0.4,30.0,70,4
Burger Factory IRANMALL,سالاد مخصوص فکتوری با سس انار,کم‌فروش,10.9,3.0,18.0,11.0,0.39,25.0,72,2
Burger Factory IRANMALL,آب پرتقال طبیعی,کم‌فروش,8.7,1.0,16.0,9.0,0.31,16.0,74,0
Burger Factory IRANMALL,پنیر اضافه,کم‌فروش,7.6,5.0,10.0,8.0,0.27,23.0,70,4
Burger Factory IRANMALL,چیلی فرایز,کم‌فروش,7.3,3.0,11.0,8.0,0.26,22.0,73,1
Burger Factory IRANMALL,آیولی برگر,کم‌فروش,6.5,1.0,12.0,7.0,0.23,16.0,73,1
Burger Factory IRANMALL,چیلی هات داگ,کم‌فروش,6.5,4.0,9.0,7.0,0.23,19.0,73,1
Burger Factory IRANMALL,دبل ماشروم برگر,کم‌فروش,5.1,2.0,8.0,6.0,0.18,14.0,72,2
Burger Factory IRANMALL,سس وایت,کم‌فروش,5.0,2.0,8.0,5.0,0.18,15.0,67,7
Burger Factory IRANMALL,بیکن,کم‌فروش,4.7,2.0,8.0,5.0,0.17,17.0,71,3
Burger Factory IRANMALL,سس پنیر,کم‌فروش,4.3,0.0,8.0,5.0,0.15,12.0,72,2
Burger Factory IRANMALL,دبل چیز برگر,کم‌فروش,4.2,2.0,7.0,5.0,0.15,12.0,66,8
Burger Factory IRANMALL,هالوپینو اضافه,کم‌فروش,3.8,1.0,7.0,4.0,0.14,8.0,73,1
Burger Factory IRANMALL,دبل برگر,کم‌فروش,2.7,0.0,5.0,3.0,0.1,8.0,72,2
